STATE,NAME,YEAR,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,AVG,OBP,SLG,GIDP,SAC,SF,BB,IBB,HBP,CS,GO,AO,G/F,SB%,TA,SSA
°h§Ð,ÆN«L,1990,90,378,322,58,58,94,52,21,3,18,175,58,7,0.292,0.376,0.543,3,0,4,41,6,5,5,58,116,0.5,0.583,0.992,1116.93
°h§Ð,·ç§J,1990,90,381,342,45,48,110,68,33,2,7,168,37,7,0.322,0.38,0.491,11,1,3,30,1,4,2,104,94,1.106,0.778,0.857,854.64
°h§Ð,¬x¤@¤¤,1990,90,404,365,31,52,104,78,22,4,0,134,17,5,0.285,0.338,0.367,10,4,4,27,0,4,3,130,118,1.102,0.625,0.62,573.93
°h§Ð,¤ý«T­¦,1990,90,348,313,24,32,71,57,12,1,1,88,40,3,0.227,0.288,0.281,6,8,0,25,0,2,6,137,65,2.108,0.333,0.465,454.84
°h§Ð,§õ©~©ú,1990,88,371,335,42,43,97,70,15,4,8,144,34,3,0.29,0.338,0.43,6,0,5,27,4,0,5,87,122,0.713,0.375,0.715,803.55
°h§Ð,ªL©ö¼W,1990,87,383,350,34,66,116,94,15,3,4,149,20,34,0.331,0.378,0.426,7,2,3,24,0,4,18,96,121,0.793,0.654,0.815,730.43
°h§Ð,¦ó¨}§Ó,1990,86,330,278,15,47,67,58,5,4,0,80,33,12,0.241,0.342,0.288,8,8,1,43,0,0,6,123,56,2.196,0.667,0.6,396.01
°h§Ð,ªL¦Ê¦ë,1990,86,338,310,34,31,82,63,14,0,5,111,28,4,0.265,0.311,0.358,10,5,0,21,2,0,5,106,94,1.128,0.444,0.568,645.52
°h§Ð,³¯ª÷­Z,1990,86,364,315,49,59,93,64,21,2,6,136,40,7,0.295,0.366,0.432,4,3,7,32,0,7,5,85,104,0.817,0.583,0.788,796.24
°h§Ð,©s¹p,1990,85,331,283,43,43,68,44,11,2,11,116,48,3,0.24,0.345,0.41,5,1,1,45,0,1,4,76,92,0.826,0.429,0.737,791.28
°h§Ð,ªL®¶½å,1990,85,268,249,21,28,58,45,10,2,1,75,26,4,0.233,0.275,0.301,3,3,1,14,0,1,3,102,64,1.594,0.571,0.477,432.93
°h§Ð,Ã¹°Ò,1990,85,345,325,49,38,77,50,13,1,13,131,41,4,0.237,0.269,0.403,13,2,2,12,1,3,4,126,83,1.518,0.5,0.57,872.92
°h§Ð,«Òªi,1990,85,353,305,49,57,93,59,20,4,10,151,40,13,0.305,0.372,0.495,2,4,4,32,5,3,5,104,72,1.444,0.722,0.932,900.92
°h§Ð,¶ÀÞ£¶©,1990,85,350,311,32,53,87,65,15,4,3,119,34,8,0.28,0.35,0.383,8,4,1,29,0,5,6,73,118,0.619,0.571,0.676,618.74
°h§Ð,§ººa®õ,1990,84,329,273,35,29,77,56,15,2,4,108,34,1,0.282,0.387,0.396,10,0,5,49,1,1,2,92,75,1.227,0.333,0.769,645.05
°h§Ð,¨L«T¨},1990,83,329,285,24,25,69,54,13,1,1,87,25,3,0.242,0.319,0.305,7,12,0,27,0,5,3,117,74,1.581,0.5,0.54,469.11
°h§Ð,¾G¦Ê³Ó,1990,83,332,295,22,41,90,77,12,0,1,105,21,11,0.305,0.372,0.356,4,4,1,29,0,3,9,126,59,2.136,0.55,0.679,540.08
°h§Ð,®]¬L¥ß,1990,83,320,299,42,37,81,60,16,0,5,112,35,23,0.271,0.296,0.375,3,5,3,10,1,2,7,92,94,0.979,0.767,0.649,692.9
°h§Ð,Ò\©¾¨k,1990,83,298,265,12,18,52,49,3,0,0,55,20,3,0.196,0.26,0.208,6,10,0,22,0,1,1,100,93,1.075,0.75,0.368,311.23
°h§Ð,§E´I¸Û,1990,82,246,228,32,21,46,36,5,3,2,63,54,4,0.202,0.248,0.276,4,4,0,12,0,2,0,73,55,1.327,1,0.435,464.75
°h§Ð,°¨´µ,1990,82,298,261,53,48,88,49,22,1,16,160,63,5,0.337,0.399,0.613,3,0,3,24,5,5,1,58,55,1.055,0.833,1.124,1082.16
°h§Ð,§õ¦wº³,1990,82,321,287,40,36,86,68,13,2,3,112,53,2,0.3,0.354,0.39,8,5,3,23,0,3,6,99,52,1.904,0.25,0.651,671.65
°h§Ð,¤ý¥ú½÷,1990,79,337,310,45,47,106,73,23,1,9,158,26,3,0.342,0.383,0.51,7,1,2,19,2,3,2,97,83,1.169,0.6,0.869,904.94
°h§Ð,³¢«ØÀM,1990,78,317,276,35,32,72,61,11,0,0,83,21,8,0.261,0.324,0.301,8,11,3,27,0,0,5,113,73,1.548,0.615,0.544,518.87
°h§Ð,³Á§J,1990,77,281,249,32,32,59,34,21,1,3,91,40,3,0.237,0.293,0.365,5,5,5,19,0,3,6,85,70,1.214,0.333,0.577,547.95
°h§Ð,³¯¥¿¤¤,1990,76,299,264,45,31,63,45,10,1,7,96,43,3,0.239,0.308,0.364,3,0,3,27,4,1,0,78,83,0.94,1,0.642,699.64
°h§Ð,§V¨º,1990,75,283,268,25,25,64,52,8,3,1,81,33,6,0.239,0.269,0.302,8,4,0,7,0,4,4,133,38,3.5,0.6,0.454,464.81
°h§Ð,¬x¥¿´Ü,1990,74,276,255,24,28,62,51,10,1,0,74,48,6,0.243,0.269,0.29,7,7,3,10,1,0,1,97,51,1.902,0.857,0.453,437.14
°h§Ð,¾G©¯¥Í,1990,72,282,269,27,30,83,67,13,1,2,104,38,6,0.309,0.326,0.387,5,0,4,9,0,0,1,92,60,1.533,0.857,0.62,587.55
