時間,學校,準決賽/決賽,two_point_shot,three_point_shot,penalty_shot,勝負
106,永仁高中,準決賽,0.47,0.08,0.5,負
106,滬江高中,準決賽,0.38,0.22,0.68,勝
106,永仁高中,準決賽,0.44,0.27,0.69,勝
106,南湖高中,準決賽,0.25,0.47,0.4,負
106,永仁高中,準決賽,0.39,0.4,0.57,勝
106,北市陽明,準決賽,0.28,0.25,0.67,負
106,永仁高中,準決賽,0.39,0.32,0.63,勝
106,苗栗高商,準決賽,0.33,0.21,0.58,負
106,永仁高中,準決賽,0.38,0.26,0.6,勝
106,南山高中,準決賽,0.36,0.42,0.77,負
106,永仁高中,準決賽,0.52,0.2,0.79,勝
106,普門中學,準決賽,0.37,0.26,0.79,負
106,永仁高中,準決賽,0.41,0.1,0.67,勝
106,淡水商工,準決賽,0.25,0.08,0.5,負
106,永仁高中,決賽,0.35,0.13,0.74,負
106,南山高中,決賽,0.39,0.4,0.47,勝
106,永仁高中,決賽,0.31,0.07,0.59,負
106,滬江高中,決賽,0.34,0.31,0.55,勝
106,北市陽明,準決賽,0.35,0.15,0.47,負
106,南山高中,準決賽,0.47,0.2,0.46,勝
106,北市陽明,準決賽,0.43,0.28,0.68,負
106,普門中學,準決賽,0.47,0.3,0.6,勝
106,北市陽明,準決賽,0.32,0.22,0.68,負
106,淡水商工,準決賽,0.31,0,0.72,勝
106,北市陽明,準決賽,0.38,0.11,0.79,負
106,滬江高中,準決賽,0.33,0.42,0.73,勝
106,北市陽明,準決賽,0.4,0.11,0.83,負
106,南湖高中,準決賽,0.4,0.25,0.79,勝
106,北市陽明,準決賽,0.35,0.26,0.63,負
106,苗栗高商,準決賽,0.45,0.2,0.55,勝
106,南山高中,準決賽,0.29,0.18,0.47,勝
106,苗栗高商,準決賽,0.25,0.14,0.64,負
106,南山高中,準決賽,0.47,0.09,0.47,負
106,滬江高中,準決賽,0.41,0.36,0.89,勝
106,南山高中,準決賽,0.35,0.13,0.73,勝
106,南湖高中,準決賽,0.35,0.16,0.56,負
106,南山高中,準決賽,0.29,0.23,0.69,勝
106,淡水商工,準決賽,0.3,0.13,0.58,負
106,南山高中,準決賽,0.49,0.26,0.8,負
106,普門中學,準決賽,0.47,0.24,0.56,勝
106,南山高中,決賽,0.28,0.17,0.61,負
106,普門中學,決賽,0.46,0.38,0.7,勝
106,苗栗高商,準決賽,0.34,0.24,0.54,負
106,普門中學,準決賽,0.49,0.41,0.47,勝
106,苗栗高商,準決賽,0.5,0.39,0.7,勝
106,淡水商工,準決賽,0.33,0.06,0.74,負
106,苗栗高商,準決賽,0.4,0.28,0.52,勝
106,南湖高中,準決賽,0.38,0.14,0.73,負
106,苗栗高商,準決賽,0.34,0.08,0.53,負
106,滬江高中,準決賽,0.34,0.19,0.73,勝
106,南湖高中,準決賽,0.28,0.26,0.57,負
106,淡水商工,準決賽,0.41,0.38,0.69,勝
106,南湖高中,準決賽,0.31,0.09,0.64,負
106,普門中學,準決賽,0.33,0.19,0.8,勝
106,南湖高中,準決賽,0.32,0.28,0.69,負
106,滬江高中,準決賽,0.43,0.26,0.7,勝
106,淡水商工,準決賽,0.22,0.21,0.84,負
106,滬江高中,準決賽,0.49,0.21,0.81,勝
106,淡水商工,準決賽,0.5,0.2,0.86,負
106,普門中學,準決賽,0.4,0.27,0.65,勝
106,普門中學,準決賽,0.43,0.36,0.71,勝
106,滬江高中,準決賽,0.4,0.33,0.69,負
106,普門中學,決賽,0.35,0.4,0.68,勝
106,滬江高中,決賽,0.41,0.17,0.43,負
107,北一女中,準決賽,0.38,0.25,0.2,負
107,普門中學,準決賽,0.47,0.26,0.69,勝
107,北一女中,準決賽,0.46,0.18,0.69,勝
107,淡水商工,準決賽,0.43,0.13,0.54,負
107,北一女中,準決賽,0.48,0.31,1,負
107,永仁高中,準決賽,0.33,0.42,0.71,勝
107,北一女中,準決賽,0.41,0.22,0.69,負
107,南山高中,準決賽,0.43,0.27,0.77,勝
107,北一女中,準決賽,0.35,0.26,0.33,勝
107,滬江高中,準決賽,0.38,0.09,0.61,負
107,北一女中,準決賽,0.64,0.2,0.65,勝
107,東泰高中,準決賽,0.44,0.1,0.71,負
107,北一女中,準決賽,0.28,0.3,0.69,勝
107,苗栗高商,準決賽,0.35,0.09,0.71,負
107,北一女中,決賽,0.22,0.17,0.35,負
107,永仁高中,決賽,0.36,0.26,0.47,勝
107,北一女中,決賽,0.31,0.21,0.4,負
107,普門中學,決賽,0.31,0.31,0.57,勝
107,永仁高中,準決賽,0.47,0.33,0.75,勝
107,滬江高中,準決賽,0.39,0.2,0.65,負
107,永仁高中,準決賽,0.57,0.29,0.6,勝
107,東泰高中,準決賽,0.32,0.23,0.63,負
107,永仁高中,準決賽,0.56,0.38,1,勝
107,苗栗高商,準決賽,0.57,0.24,0.53,負
107,永仁高中,準決賽,0.33,0.3,0.64,勝
107,普門中學,準決賽,0.44,0.22,0.83,負
107,永仁高中,準決賽,0.32,0.31,0.81,勝
107,淡水商工,準決賽,0.34,0.25,0.81,負
107,永仁高中,準決賽,0.43,0.45,0.74,勝
107,南山高中,準決賽,0.38,0.21,0.55,負
107,永仁高中,決賽,0.38,0.14,0.72,負
107,南山高中,決賽,0.33,0.3,0.67,勝
107,東泰高中,準決賽,0.33,0.4,0.8,負
107,南山高中,準決賽,0.58,0.31,0.83,勝
107,東泰高中,準決賽,0.29,0.15,0.75,負
107,淡水商工,準決賽,0.53,0.25,0.69,勝
107,東泰高中,準決賽,0.26,0.21,0.78,負
107,普門中學,準決賽,0.44,0.4,0.64,勝
107,東泰高中,準決賽,0.45,0.33,0.64,負
107,苗栗高商,準決賽,0.54,0.32,0.32,勝
107,東泰高中,準決賽,0.58,0.23,0.53,勝
107,滬江高中,準決賽,0.41,0.17,0.59,負
107,南山高中,準決賽,0.42,0.24,0.69,勝
107,滬江高中,準決賽,0.5,0.22,0.8,負
107,南山高中,準決賽,0.45,0.17,0.79,勝
107,苗栗高商,準決賽,0.33,0.11,0.5,負
107,南山高中,準決賽,0.36,0.19,0.92,勝
107,淡水商工,準決賽,0.37,0.3,0.67,負
107,南山高中,準決賽,0.32,0.26,1,負
107,普門中學,準決賽,0.49,0.29,0.64,勝
107,南山高中,決賽,0.45,0.21,0.5,勝
107,普門中學,決賽,0.31,0.12,0.76,負
107,苗栗高商,準決賽,0.43,0.27,0.53,勝
107,淡水商工,準決賽,0.42,0.29,0.57,負
107,苗栗高商,準決賽,0.44,0.18,0.83,負
107,普門中學,準決賽,0.46,0.29,0.71,勝
107,苗栗高商,準決賽,0.58,0.11,0.56,勝
107,滬江高中,準決賽,0.39,0.17,0.71,負
107,淡水商工,準決賽,0.43,0.29,0.69,勝
107,滬江高中,準決賽,0.35,0.17,0.65,負
107,淡水商工,準決賽,0.42,0.24,0.91,負
107,普門中學,準決賽,0.36,0.33,0.84,勝
107,普門中學,準決賽,0.35,0.29,0.77,勝
107,滬江高中,準決賽,0.35,0.43,0.75,負
108,北一女中,準決賽,0.4,0.33,0.52,勝
108,永平高中,準決賽,0.33,0.11,0.47,負
108,北一女中,準決賽,0.37,0.23,0.64,負
108,永仁高中,準決賽,0.45,0.28,0.57,勝
108,北一女中,準決賽,0.52,0.2,0.74,勝
108,滬江高中,準決賽,0.44,0.2,0.58,負
108,北一女中,準決賽,0.49,0.36,0.87,勝
108,陽明高中,準決賽,0.42,0.41,0.54,負
108,北一女中,準決賽,0.48,0.3,0.88,負
108,淡水商工,準決賽,0.64,0.33,0.84,勝
108,北一女中,準決賽,0.36,0.19,0.64,勝
108,普門中學,準決賽,0.38,0.24,0.79,負
108,北一女中,準決賽,0.42,0.22,0.71,負
108,南山高中,準決賽,0.5,0.4,0.72,勝
108,北一女中,決賽,0.4,0.23,0.5,勝
108,南山高中,決賽,0.37,0.12,0.81,負
108,北一女中,準決賽,0.36,0.2,0.67,負
108,淡水商工,準決賽,0.53,0.07,0.78,勝
108,永仁高中,準決賽,0.46,0.24,0.65,負
108,南山高中,準決賽,0.54,0.2,0.78,勝
108,永仁高中,準決賽,0.3,0.28,0.64,負
108,普門中學,準決賽,0.46,0.26,0.63,勝
108,永仁高中,準決賽,0.48,0.08,0.56,勝
108,淡水商工,準決賽,0.38,0.23,0.78,負
108,永仁高中,準決賽,0.53,0.21,0.8,勝
108,陽明高中,準決賽,0.42,0.26,0.67,負
108,永仁高中,準決賽,0.54,0.32,0.91,勝
108,滬江高中,準決賽,0.35,0.47,0.73,負
108,永仁高中,準決賽,0.53,0.36,0.75,勝
108,永平高中,準決賽,0.22,0.25,0.79,負
108,永仁高中,決賽,0.31,0.25,0.86,負
108,淡水商工,決賽,0.32,0.27,0.79,勝
108,永仁高中,決賽,0.38,0.19,0.69,勝
108,南山高中,決賽,0.35,0.1,0.71,負
108,永平高中,準決賽,0.5,0.19,0.67,負
108,南山高中,準決賽,0.37,0.32,0.81,勝
108,永平高中,準決賽,0.39,0.29,0.5,負
108,淡水商工,準決賽,0.59,0.07,0.61,勝
108,永平高中,準決賽,0.31,0.33,0.56,負
108,普門中學,準決賽,0.55,0.29,0.83,勝
108,永平高中,準決賽,0.49,0.35,0.69,勝
108,滬江高中,準決賽,0.22,0.26,0.54,負
108,永平高中,準決賽,0.47,0.26,0.4,負
108,陽明高中,準決賽,0.53,0.28,0.83,勝
108,南山高中,準決賽,0.45,0.13,0.7,勝
108,陽明高中,準決賽,0.29,0.24,0.47,負
108,南山高中,準決賽,0.57,0.38,0.78,勝
108,滬江高中,準決賽,0.25,0.44,0.69,負
108,南山高中,準決賽,0.45,0.32,0.79,勝
108,普門中學,準決賽,0.36,0.26,0.58,負
108,南山高中,準決賽,0.4,0.36,0.65,負
108,淡水商工,準決賽,0.44,0.31,0.56,勝
108,淡水商工,準決賽,0.62,0.43,0.92,勝
108,滬江高中,準決賽,0.43,0.3,0.6,負
108,淡水商工,準決賽,0.51,0,0.81,勝
108,陽明高中,準決賽,0.4,0.25,0.86,負
108,淡水商工,準決賽,0.45,0.3,0.75,負
108,普門中學,準決賽,0.49,0.52,0.79,勝
108,普門中學,準決賽,0.54,0.18,0.56,勝
108,陽明高中,準決賽,0.42,0.2,0.56,負
108,普門中學,準決賽,0.33,0.16,0.75,負
108,滬江高中,準決賽,0.5,0.25,0.78,勝
108,陽明高中,準決賽,0.52,0.32,0.89,勝
108,滬江高中,準決賽,0.48,0.3,0.69,負
109,北一女中,準決賽,0.38,0.26,0.43,勝
109,南山高中,準決賽,0.49,0.2,0.56,負
109,北一女中,準決賽,0.53,0.26,0.67,勝
109,陽明高中,準決賽,0.38,0.22,0.86,負
109,北一女中,準決賽,0.33,0.33,0.57,負
109,淡水商工,準決賽,0.45,0.17,0.67,勝
109,北一女中,準決賽,0.44,0.25,0.5,負
109,永仁高中,準決賽,0.29,0.2,0.8,勝
109,北一女中,準決賽,0.44,0.1,0.76,勝
109,金甌女中,準決賽,0.32,0.35,0.57,負
109,北一女中,準決賽,0.46,0.15,0.52,勝
109,普門中學,準決賽,0.49,0.19,0.78,負
109,北一女中,準決賽,0.45,0.09,0.57,勝
109,苗栗高商,準決賽,0.28,0.32,0.6,負
109,北一女中,決賽,0.37,0.06,0.65,負
109,永仁高中,決賽,0.32,0.23,0.65,勝
109,北一女中,決賽,0.33,0.24,0.53,負
109,陽明高中,決賽,0.46,0.14,0.5,勝
109,永仁高中,準決賽,0.38,0.25,1,勝
109,普門中學,準決賽,0.48,0.2,0.57,負
109,永仁高中,準決賽,0.39,0.12,0.83,勝
109,金甌女中,準決賽,0.31,0.33,0.55,負
109,永仁高中,準決賽,0.43,0.14,0.71,勝
109,苗栗高商,準決賽,0.44,0.06,0.77,負
109,永仁高中,準決賽,0.38,0.16,0.56,負
109,陽明高中,準決賽,0.41,0.43,0.82,勝
109,永仁高中,準決賽,0.42,0.28,0.83,勝
109,南山高中,準決賽,0.34,0.18,0.69,負
109,永仁高中,準決賽,0.29,0.19,0.67,負
109,淡水商工,準決賽,0.36,0.46,0.46,勝
109,永仁高中,決賽,0.36,0.15,0.24,負
109,淡水商工,決賽,0.4,0.27,0.67,勝
109,金甌女中,準決賽,0.31,0.13,0.58,負
109,淡水商工,準決賽,0.48,0.32,0.56,勝
109,金甌女中,準決賽,0.33,0.18,0.67,負
109,南山高中,準決賽,0.39,0.3,0.67,勝
109,金甌女中,準決賽,0.38,0.25,0.59,負
109,陽明高中,準決賽,0.4,0.06,0.67,勝
109,金甌女中,準決賽,0.36,0.29,0.68,負
109,苗栗高商,準決賽,0.4,0.07,0.67,勝
109,金甌女中,準決賽,0.39,0.32,0.75,負
109,普門中學,準決賽,0.42,0.15,0.8,勝
109,南山高中,準決賽,0.43,0.21,0.64,勝
109,苗栗高商,準決賽,0.5,0.21,0.76,負
